word,mentions,avg_rating,Impact
roger,49,83.32352941176471,Drives Poor Ratings
receptionist,32,85.55263157894737,Drives Poor Ratings
filthi,37,85.68181818181819,Drives Poor Ratings
raven,44,86,Drives Poor Ratings
mildew,34,86.13157894736842,Drives Poor Ratings
disgust,56,86.25,Drives Poor Ratings
unclean,35,87.11428571428571,Drives Poor Ratings
refus,52,87.12962962962963,Drives Poor Ratings
dirti,496,87.61322314049588,Drives Poor Ratings
deposit,34,87.65789473684211,Drives Poor Ratings
poorli,40,87.65853658536585,Drives Poor Ratings
messi,47,87.9375,Drives Poor Ratings
rude,82,88.03225806451613,Drives Poor Ratings
nightmar,38,88.07692307692308,Drives Poor Ratings
cockroach,141,88.19135802469135,Drives Poor Ratings
dirk,61,98.97647058823529,Drives Premium Ratings
fanni,52,98.88333333333334,Drives Premium Ratings
ed,41,98.76470588235294,Drives Premium Ratings
carriag,41,98.73076923076923,Drives Premium Ratings
sheila,148,98.43983402489627,Drives Premium Ratings
cabana,77,98.43478260869566,Drives Premium Ratings
hale,256,98.26941747572815,Drives Premium Ratings
yen,48,98.02857142857142,Drives Premium Ratings
tuna,56,97.9779411764706,Drives Premium Ratings
robin,59,97.8695652173913,Drives Premium Ratings
granni,63,97.79166666666667,Drives Premium Ratings
rod,46,97.79166666666667,Drives Premium Ratings
teddi,42,97.75,Drives Premium Ratings
homemad,168,97.66292134831461,Drives Premium Ratings
yogurt,58,97.65517241379311,Drives Premium Ratings
